"YLR044C"	"YHR174W"	"YPR035W"
"199_Glutamine"	60	58	3
"200_Glutamine"	31	35	1
"201_Glutamine"	56	74	1
"202_Glutamine"	7	11	1
"203_Glutamine"	76	59	1
"204_Glutamine"	24	7	0
"205_Glutamine"	24	9	1
"206_Glutamine"	6	3	2
"207_Glutamine"	16	13	1
"208_Glutamine"	55	11	0
"209_Glutamine"	61	62	6
"210_Glutamine"	36	21	0
"211_Glutamine"	41	28	4
"212_Glutamine"	9	5	0
"213_Glutamine"	34	9	0
"214_Glutamine"	45	50	1
"215_Glutamine"	16	19	2
"216_Glutamine"	187	87	8
"217_Glutamine"	26	12	1
"218_Glutamine"	87	24	2
"219_Glutamine"	46	35	0
"220_Glutamine"	45	32	2
"221_Glutamine"	18	24	1
"222_Glutamine"	71	69	18
"223_Glutamine"	35	32	2
"224_Glutamine"	56	44	9
"225_Glutamine"	19	9	0
"226_Glutamine"	226	121	9
"227_Glutamine"	142	126	22
"228_Glutamine"	21	8	1
"229_Glutamine"	51	29	3
"230_Glutamine"	53	27	5
"231_Glutamine"	99	87	8
"232_Glutamine"	54	59	8
"233_Glutamine"	21	10	0
"234_Glutamine"	56	33	1
"235_Glutamine"	33	17	0
"236_Glutamine"	106	76	1
"237_Glutamine"	17	3	1
"238_Glutamine"	20	3	0
"239_Glutamine"	48	33	3
"240_Glutamine"	7	2	0
"241_Glutamine"	7	3	1
"242_Glutamine"	17	10	2
"243_Glutamine"	66	44	6
"244_Glutamine"	95	59	7
"245_Glutamine"	21	17	4
"246_Glutamine"	96	54	1
"247_Glutamine"	51	15	0
"248_Glutamine"	23	16	2
"249_Glutamine"	66	6	0
"250_Glutamine"	28	33	13
"251_Glutamine"	26	32	2
"252_Glutamine"	27	21	2
"253_Glutamine"	17	13	2
"254_Glutamine"	71	68	3
"255_Glutamine"	42	44	1
"256_Glutamine"	15	13	1
"257_Glutamine"	130	105	6
"258_Glutamine"	4	6	4
"259_Glutamine"	122	79	8
"260_Glutamine"	15	13	8
"261_Glutamine"	37	25	3
"262_Glutamine"	55	56	3
"263_Glutamine"	31	25	1
"264_Glutamine"	40	29	4
"265_Glutamine"	104	53	6
"266_Glutamine"	37	41	1
"267_Glutamine"	8	5	0
"268_Glutamine"	18	17	0
"269_Glutamine"	77	42	6
"270_Glutamine"	67	71	1
"271_Glutamine"	15	20	0
"272_Glutamine"	51	26	1
"273_Glutamine"	11	5	0
"274_Glutamine"	174	152	3
"275_Glutamine"	37	17	1
"276_Glutamine"	20	15	0
"277_Glutamine"	32	23	7
"278_Glutamine"	53	49	0
"279_Glutamine"	55	45	1
"280_Glutamine"	22	19	1
"281_Glutamine"	39	42	3
"282_Glutamine"	29	17	3
"283_Glutamine"	154	183	10
"284_Glutamine"	22	5	0
"285_Glutamine"	23	11	2
"286_Glutamine"	14	6	0
"287_Glutamine"	149	43	7
"288_Glutamine"	66	17	1
"289_Glutamine"	17	15	1
"290_Glutamine"	64	53	2
"291_Glutamine"	24	23	0
"292_Glutamine"	330	117	1
"293_Glutamine"	11	6	1
"294_Glutamine"	83	17	0
"295_Glutamine"	115	126	6
"296_Glutamine"	26	12	1
"297_Glutamine"	49	32	3
"298_Glutamine"	17	11	1
"299_Glutamine"	21	14	1
"300_Glutamine"	42	10	4
"301_Glutamine"	14	8	0
"302_Glutamine"	37	20	1
"303_Glutamine"	36	10	1
"304_Glutamine"	76	61	8
"305_Glutamine"	61	23	1
"306_Glutamine"	21	32	6
"307_Glutamine"	159	171	19
"308_Glutamine"	37	49	4
"309_Glutamine"	8	13	3
"310_Glutamine"	85	73	5
"311_Glutamine"	42	24	2
"312_Glutamine"	113	81	4
"313_Glutamine"	36	21	0
"314_Glutamine"	22	10	1
"315_Glutamine"	70	56	1
"316_Glutamine"	48	35	1
"317_Glutamine"	20	17	2
"318_Glutamine"	67	27	5
"319_Glutamine"	62	27	0
"320_Glutamine"	21	8	1
"321_Glutamine"	65	22	0
"322_Glutamine"	21	7	0
"323_Glutamine"	15	12	1
"324_Glutamine"	19	20	3
"325_Glutamine"	209	113	9
"326_Glutamine"	15	23	0
"327_Glutamine"	15	7	1
"328_Glutamine"	25	20	1
"329_Glutamine"	31	14	2
"330_Glutamine"	17	6	3
"331_Glutamine"	152	42	3
"332_Glutamine"	52	99	38
"333_Glutamine"	88	61	1
"334_Glutamine"	10	2	3
"335_Glutamine"	33	18	0
"336_Glutamine"	51	20	2
"337_Glutamine"	11	17	2
"338_Glutamine"	57	30	7
"339_Glutamine"	59	18	1
"340_Glutamine"	7	5	0
"341_Glutamine"	41	11	2
"342_Glutamine"	23	15	0
"343_Glutamine"	1	9	3
"344_Glutamine"	43	37	3
"345_Glutamine"	9	1	1
"346_Glutamine"	33	29	0
"347_Glutamine"	53	13	2
"348_Glutamine"	58	50	3
"349_Glutamine"	51	10	1
"350_Glutamine"	28	6	2
"351_Glutamine"	67	56	7
"352_Glutamine"	38	15	5
"353_Glutamine"	35	58	15
"354_Glutamine"	178	138	22
"355_Glutamine"	104	87	12
"356_Glutamine"	15	11	1
"357_Glutamine"	55	30	1
"358_Glutamine"	244	46	1
"359_Glutamine"	23	27	0
"360_Glutamine"	212	213	8
"361_Glutamine"	16	7	0
"362_Glutamine"	22	7	0
"363_Glutamine"	92	46	5
"364_Glutamine"	17	16	0
"365_Glutamine"	8	4	1
"366_Glutamine"	5	2	0
"367_Glutamine"	30	21	5
"368_Glutamine"	140	92	7
"369_Glutamine"	154	148	7
"370_Glutamine"	31	27	3
"371_Glutamine"	19	10	1
"372_Glutamine"	7	3	0
"373_Glutamine"	25	20	1
"374_Glutamine"	35	11	0
"375_Glutamine"	51	16	0
"376_Glutamine"	39	22	3
"377_Glutamine"	6	3	4
"378_Glutamine"	82	14	0
"379_Glutamine"	15	12	1
"380_Glutamine"	42	13	1
"381_Glutamine"	32	20	1
"382_Glutamine"	31	29	0
"383_Glutamine"	34	18	1
"384_Glutamine"	21	12	1
"385_Glutamine"	19	13	1
"386_Glutamine"	22	20	3
"387_Glutamine"	4	4	1
"388_Glutamine"	51	37	1
"389_Glutamine"	5	10	1
"390_Glutamine"	10	6	0
"391_Glutamine"	22	12	2
"392_Glutamine"	171	154	12
"393_Glutamine"	38	25	6
"394_Glutamine"	12	0	1
"395_Glutamine"	22	30	0
"396_Glutamine"	78	17	0
"397_Glutamine"	207	149	13
"398_Glutamine"	35	21	1
"399_Glutamine"	12	14	2
"400_Glutamine"	26	28	1
"401_Glutamine"	10	6	1
"402_Glutamine"	76	76	7
"403_Glutamine"	103	80	3
"404_Glutamine"	69	55	9
"405_Glutamine"	6	4	1
"406_Glutamine"	65	65	2
"407_Glutamine"	25	10	2
"408_Glutamine"	19	9	1
"409_Glutamine"	105	75	17
"410_Glutamine"	106	37	1
"411_Glutamine"	8	4	0
"412_Glutamine"	31	18	4
"413_Glutamine"	35	27	3
"414_Glutamine"	181	146	3
"415_Glutamine"	226	147	2
"416_Glutamine"	75	34	5
"417_Glutamine"	6	2	0
"418_Glutamine"	21	15	0
