Fabp7	Sox11	Cd24a
0.0	20.0	13.0
38.0	2.0	2.0
1.0	1.0	1.0
0.0	36.0	14.0
93.0	21.0	13.0
91.0	1.0	0.0
165.0	0.0	0.0
24.0	81.0	25.0
0.0	26.0	10.0
48.0	25.0	3.0
21.0	0.0	2.0
95.0	2.0	2.0
232.0	25.0	6.0
101.0	3.0	9.0
181.0	3.0	2.0
46.0	0.0	0.0
2.0	27.0	4.0
155.0	1.0	2.0
41.0	5.0	7.0
18.0	2.0	1.0
117.0	13.0	3.0
0.0	7.0	2.0
38.0	2.0	1.0
0.0	15.0	10.0
1.0	17.0	5.0
0.0	5.0	2.0
19.0	2.0	0.0
90.0	1.0	4.0
1.0	18.0	10.0
3.0	9.0	7.0
0.0	12.0	10.0
20.0	55.0	16.0
13.0	4.0	0.0
148.0	4.0	1.0
4.0	5.0	0.0
260.0	1.0	0.0
90.0	2.0	2.0
2.0	11.0	8.0
21.0	4.0	1.0
145.0	14.0	10.0
29.0	19.0	7.0
0.0	2.0	8.0
1.0	35.0	17.0
279.0	2.0	1.0
55.0	0.0	0.0
163.0	2.0	6.0
1.0	2.0	1.0
72.0	4.0	0.0
340.0	0.0	1.0
2.0	14.0	8.0
135.0	0.0	0.0
342.0	0.0	0.0
0.0	4.0	2.0
140.0	0.0	0.0
163.0	2.0	1.0
71.0	2.0	0.0
59.0	0.0	0.0
0.0	45.0	15.0
58.0	29.0	6.0
33.0	15.0	3.0
12.0	6.0	0.0
3.0	8.0	1.0
94.0	1.0	0.0
104.0	3.0	1.0
1.0	16.0	6.0
2.0	10.0	12.0
62.0	26.0	13.0
7.0	2.0	2.0
16.0	2.0	0.0
255.0	2.0	2.0
1.0	19.0	11.0
177.0	3.0	0.0
72.0	4.0	0.0
33.0	5.0	5.0
152.0	0.0	1.0
82.0	1.0	0.0
69.0	4.0	2.0
195.0	37.0	21.0
7.0	0.0	1.0
18.0	5.0	1.0
5.0	35.0	7.0
2.0	1.0	3.0
0.0	4.0	1.0
93.0	2.0	1.0
179.0	4.0	0.0
3.0	20.0	4.0
268.0	1.0	0.0
146.0	2.0	1.0
189.0	0.0	0.0
0.0	2.0	4.0
143.0	2.0	0.0
7.0	23.0	4.0
30.0	1.0	1.0
52.0	0.0	0.0
0.0	0.0	0.0
42.0	0.0	3.0
0.0	0.0	1.0
19.0	0.0	0.0
188.0	0.0	1.0
1.0	16.0	5.0
186.0	1.0	4.0
33.0	0.0	0.0
168.0	0.0	3.0
118.0	1.0	0.0
96.0	1.0	0.0
51.0	6.0	0.0
46.0	13.0	5.0
135.0	2.0	0.0
8.0	3.0	0.0
13.0	1.0	0.0
1.0	5.0	1.0
113.0	20.0	2.0
70.0	21.0	5.0
19.0	20.0	7.0
64.0	1.0	2.0
194.0	19.0	12.0
14.0	15.0	8.0
45.0	1.0	2.0
118.0	0.0	1.0
119.0	0.0	0.0
431.0	2.0	0.0
0.0	8.0	6.0
110.0	0.0	1.0
2.0	18.0	1.0
65.0	0.0	0.0
136.0	3.0	2.0
195.0	0.0	0.0
62.0	0.0	0.0
63.0	1.0	0.0
141.0	0.0	0.0
252.0	2.0	1.0
56.0	2.0	2.0
93.0	0.0	1.0
83.0	1.0	0.0
104.0	4.0	2.0
2.0	13.0	5.0
3.0	6.0	0.0
40.0	3.0	2.0
88.0	23.0	11.0
81.0	0.0	1.0
0.0	12.0	3.0
0.0	9.0	11.0
39.0	0.0	0.0
136.0	9.0	2.0
24.0	13.0	5.0
165.0	23.0	6.0
0.0	23.0	13.0
1.0	13.0	8.0
0.0	3.0	4.0
135.0	0.0	0.0
35.0	12.0	7.0
1.0	9.0	4.0
19.0	0.0	4.0
178.0	2.0	1.0
76.0	0.0	0.0
269.0	1.0	0.0
0.0	2.0	1.0
26.0	2.0	1.0
9.0	3.0	1.0
14.0	3.0	0.0
7.0	3.0	3.0
141.0	0.0	1.0
87.0	3.0	0.0
76.0	1.0	0.0
138.0	0.0	0.0
46.0	0.0	2.0
70.0	1.0	2.0
210.0	1.0	0.0
6.0	2.0	0.0
12.0	2.0	0.0
21.0	2.0	0.0
28.0	2.0	2.0
49.0	6.0	1.0
22.0	16.0	6.0
1.0	35.0	18.0
1.0	28.0	19.0
1.0	38.0	10.0
