"YPD1"	"YPD2"	"YPD3"	"YPD4"	"YPD5"	"YPD6"	"RAPA1"	"RAPA2"	"RAPA3"	"RAPA4"	"RAPA5"	"RAPA6"
"YGL042C"	0	0	0	0	0	0	0	0	0	0	1	0
"YGL041C.B"	0	0	0	0	0	0	0	0	0	0	0	0
"YGL041W.A"	12	30	3	17	29	17	23	33	5	27	29	19
"YGL041C"	0	0	0	0	0	0	0	0	0	0	0	0
"YGL040C"	28	27	11	26	31	13	24	23	18	31	27	26
"YGL039W"	25	24	7	33	24	19	36	53	29	55	41	32
"YGL038C"	11	11	8	13	15	8	47	40	21	41	34	31
"YGL037C"	52	71	26	54	60	48	361	452	196	332	370	309
"YGL036W"	2	3	0	1	0	0	10	7	3	8	10	4
"YGL035C"	3	1	1	0	1	0	3	4	2	0	1	2
"YGL034C"	0	0	0	0	0	0	1	0	0	1	0	0
"YGL033W"	0	0	0	0	0	0	1	2	0	1	3	0
"YGL032C"	0	0	0	0	1	1	0	1	0	1	0	0
"YGL031C"	2620	2846	959	2781	2843	1923	670	881	397	684	747	607
"YGL030W"	3322	3542	1272	3657	3528	2538	942	1104	509	843	943	794
"YGL029W"	30	38	11	24	23	22	0	0	0	0	0	0
"YGL028C"	30	31	9	17	28	24	48	74	31	45	57	50
"YGL027C"	13	19	6	19	19	15	38	37	27	34	35	26
"YGL026C"	68	80	29	83	81	53	149	182	80	169	160	131
"YGL025C"	3	4	3	8	5	3	4	4	6	3	8	5
"YGL024W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGL023C"	2	3	0	2	4	0	1	3	1	6	5	5
"YGL022W"	58	41	28	55	41	35	40	67	24	57	70	53
"YGL021W"	5	9	4	7	5	3	19	16	9	21	26	20
"YGL020C"	65	63	25	53	56	55	62	66	24	60	54	41
"YGL019W"	56	71	24	63	67	42	76	86	32	66	72	87
"YGL018C"	7	8	1	9	6	8	6	12	7	5	7	9
"YGL017W"	6	8	1	5	5	6	9	7	5	9	8	4
"YGL016W"	5	4	0	10	8	5	2	2	2	4	5	2
"YGL015C"	0	0	0	0	0	0	0	1	0	0	1	0
"YGL014W"	16	13	3	15	8	8	4	19	6	10	15	9
"YGL014C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGL013C"	6	6	0	2	9	0	20	9	10	14	12	8
"YGL012W"	122	118	53	110	130	98	160	246	123	190	213	185
"YGL011C"	108	134	48	136	123	86	158	187	96	146	156	127
"YGL010W"	11	14	3	14	15	14	22	36	15	22	32	26
"YGL009C"	7	3	2	6	6	6	14	11	4	7	7	8
"YGL008C"	609	627	208	605	553	431	627	734	346	647	735	538
"YGL007C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGL007W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGL006W.A"	0	0	0	1	0	0	1	0	0	0	0	0
"YGL006W"	10	5	6	6	6	8	34	46	21	28	56	34
"YGL005C"	17	17	3	16	18	9	39	48	26	30	43	45
"YGL004C"	9	8	4	9	13	5	20	33	15	22	25	20
"YGL003C"	5	6	1	8	11	5	12	8	8	9	6	16
"YGL002W"	38	31	11	31	30	31	62	74	24	56	62	48
"YGL001C"	40	45	19	51	46	29	91	109	62	76	95	72
"YGR001C"	71	70	14	68	65	62	57	69	26	37	66	50
"YGR002C"	6	6	0	8	8	6	9	15	3	8	15	10
"YGR003W"	1	1	0	1	2	0	1	1	1	2	0	1
"YGR004W"	9	13	4	6	13	8	10	15	9	8	14	13
"YGR005C"	17	26	14	30	20	18	29	32	14	22	23	26
"YGR006W"	0	0	0	0	0	0	2	0	0	0	1	0
"YGR007W"	49	41	15	48	35	23	35	52	31	39	43	32
"YGR008C"	8	23	9	19	16	5	214	258	127	212	238	204
"YGR009C"	9	13	3	9	3	6	2	6	0	5	7	5
"YGR010W"	0	0	0	0	1	0	1	1	2	2	0	2
"YGR011W"	2	5	2	4	4	6	9	24	3	13	10	9
"YGR012W"	19	9	3	10	10	7	12	22	8	13	10	5
"YGR013W"	8	18	3	17	10	6	12	36	11	14	15	29
"YGR014W"	13	12	8	9	7	5	17	22	5	19	30	13
"YGR015C"	9	9	1	10	8	10	8	15	9	12	14	6
"YGR016W"	1	2	0	1	1	0	4	9	2	8	8	4
"YGR017W"	38	47	15	36	39	47	27	37	15	31	41	34
"YGR018C"	0	0	0	0	0	0	2	0	1	2	0	0
"YGR019W"	16	14	13	19	22	12	217	230	132	181	223	175
"YGR020C"	150	172	44	157	155	118	200	220	96	167	195	158
"YGR021W"	2	2	5	8	4	5	3	10	2	4	4	5
"YGR022C"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR023W"	0	0	0	0	1	2	4	1	0	1	0	2
"YGR024C"	0	1	0	2	1	2	3	2	2	2	2	1
"YGR025W"	0	0	0	0	1	0	2	0	1	1	0	0
"YGR026W"	10	31	8	26	12	16	31	43	18	41	48	38
"YGR027C"	2642	2953	1023	2960	2787	2087	1396	1692	811	1310	1499	1177
"YGR027W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR027W.B"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR028W"	5	3	3	4	9	3	19	18	11	19	17	15
"YGR029W"	17	21	10	16	22	21	24	29	21	19	30	23
"snR46"	1	0	0	0	0	0	0	1	1	0	0	0
"YGR030C"	11	16	3	12	11	8	2	6	1	1	2	2
"YGR031W"	4	11	2	8	6	7	11	21	6	15	13	13
"YGR031C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR032W"	2	7	2	4	9	2	16	15	11	18	16	17
"YGR033C"	37	43	15	31	40	28	36	49	19	36	31	24
"YGR034W"	2304	2569	874	2554	2490	1783	514	608	280	500	511	441
"YGR035C"	20	18	9	23	16	20	3	9	0	2	3	7
"YGR035W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR036C"	2	1	1	3	0	0	5	6	2	8	6	4
"YGR037C"	476	542	153	567	537	385	904	1144	477	863	960	744
"YGR038W"	36	48	17	40	36	29	49	54	18	55	48	45
"YGR038C.B"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR038C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR039W"	0	1	0	0	0	1	0	0	1	0	0	2
"YGR040W"	0	0	1	0	0	0	4	5	1	1	3	1
"YGR041W"	7	13	6	6	8	8	16	22	8	20	20	23
"YGR042W"	7	17	2	7	7	13	15	19	5	9	19	9
"YGR043C"	1	2	0	1	1	0	4	6	2	7	6	12
"YGR044C"	0	0	1	0	0	0	4	4	2	1	7	2
"YGR045C"	1	0	0	0	1	1	0	0	2	2	1	3
"YGR046W"	7	7	0	6	7	6	7	6	9	10	11	12
"YGR047C"	5	3	2	7	2	2	7	12	4	6	7	4
"YGR048W"	15	15	5	24	16	12	23	30	9	25	17	11
"YGR049W"	12	19	11	15	19	9	9	23	16	25	23	23
"YGR050C"	4	6	2	5	4	1	12	18	9	12	22	16
"YGR051C"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR052W"	1	0	0	1	0	0	1	1	0	0	0	1
"YGR053C"	1	1	0	1	0	0	1	3	3	2	3	1
"YGR054W"	31	36	11	38	36	25	14	14	7	18	17	18
"YGR055W"	47	43	20	61	61	50	6	5	3	8	4	7
"YGR056W"	8	10	2	2	7	4	9	16	6	8	6	5
"YGR057C"	0	1	0	0	0	1	2	1	1	0	0	1
"YGR058W"	4	9	3	4	2	3	5	9	3	7	9	1
"YGR059W"	0	0	0	0	0	0	0	0	0	0	0	1
"snR48"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR060W"	127	133	49	119	138	88	232	289	144	224	267	220
"YGR061C"	64	46	22	64	55	48	38	37	21	35	42	28
"YGR062C"	7	8	4	9	7	8	14	20	13	15	20	14
"YGR063C"	46	63	21	70	64	37	52	75	31	63	56	47
"YGR064W"	0	0	0	0	0	0	1	0	0	1	1	1
"YGR065C"	9	6	0	6	6	9	11	5	2	9	3	4
"YGR066C"	0	1	0	0	0	1	1	5	2	0	5	1
"YGR067C"	0	1	0	0	0	0	0	0	1	2	2	2
"YGR068C"	6	6	1	7	5	8	3	8	2	8	8	5
"YGR068W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR069W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR070W"	5	0	0	2	0	1	8	17	5	15	13	17
"YGR071C"	3	1	2	6	1	1	10	14	4	6	5	7
"YGR072W"	5	9	3	8	1	4	5	4	0	5	5	2
"YGR073C"	3	3	0	2	5	1	6	5	2	3	8	8
"YGR074W"	50	52	18	52	39	39	37	48	22	38	38	37
"YGR075C"	0	1	1	0	2	0	1	3	0	0	2	1
"YGR076C"	12	19	7	7	13	10	24	21	5	16	14	19
"YGR077C"	16	8	3	7	10	7	19	17	17	15	14	13
"YGR078C"	32	43	13	23	34	23	18	21	4	8	17	14
"YGR079W"	22	22	8	21	24	13	0	2	0	1	2	0
"YGR080W"	25	29	6	33	18	9	41	47	24	31	57	36
"YGR081C"	21	20	8	21	18	15	4	1	1	0	1	1
"YGR082W"	127	99	28	112	109	84	78	102	53	80	103	80
"YGR083C"	9	6	3	7	4	7	1	4	3	0	5	7
"YGR084C"	20	20	6	17	32	17	18	17	9	16	20	22
"YGR085C"	1157	1242	505	1346	1276	879	128	167	79	139	123	110
"YGR086C"	254	268	95	264	271	191	445	536	258	416	474	364
"YGR087C"	0	0	0	0	0	0	1	0	0	1	1	0
"YGR088W"	2	4	1	2	0	3	33	37	18	26	38	25
"YGR089W"	3	2	1	2	2	3	4	5	3	4	2	5
"YGR090W"	13	8	2	15	19	10	5	0	2	5	5	2
"YGR091W"	6	8	2	5	6	0	7	3	1	6	8	4
"YGR092W"	4	3	1	4	2	4	12	18	3	20	15	13
"YGR093W"	8	10	3	6	7	10	7	9	2	6	6	5
"YGR094W"	53	59	20	55	44	35	50	64	27	49	56	34
"YGR095C"	43	53	10	36	40	21	10	11	7	14	5	5
"YGR096W"	2	3	1	2	3	4	3	4	0	3	1	3
"YGR097W"	7	8	2	5	2	1	19	18	9	17	24	15
"YGR098C"	3	4	2	4	0	2	4	11	6	11	8	6
"YGR099W"	8	6	0	4	2	5	4	12	4	9	9	4
"YGR100W"	10	3	4	8	4	5	14	24	5	20	18	18
"YGR101W"	8	10	8	5	13	9	7	19	6	15	14	16
"YGR102C"	9	23	8	13	24	14	22	13	12	16	22	16
"YGR103W"	83	83	25	78	78	61	1	3	0	3	0	0
"YGR104C"	10	11	3	13	7	8	5	12	3	7	8	10
"YGR105W"	85	85	41	109	110	71	67	104	38	72	76	63
"YGR106C"	96	75	41	89	81	70	110	133	62	118	118	100
"YGR107W"	0	0	0	0	0	0	1	1	0	0	1	1
"YGR108W"	6	22	6	21	21	17	20	20	10	21	19	15
"YGR109C"	2	3	1	4	4	1	2	3	4	4	0	6
"YGR109W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR109W.B"	0	0	0	0	0	0	0	0	0	1	0	0
"YGR110W"	3	0	0	0	3	1	3	4	8	4	2	1
"YGR111W"	23	15	8	24	16	14	40	47	23	21	25	30
"YGR112W"	6	2	3	3	4	3	11	17	3	13	8	14
"YGR113W"	2	2	1	1	4	2	7	3	6	9	12	10
"YGR114C"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR115C"	0	0	0	0	0	0	0	1	0	0	0	0
"YGR116W"	19	21	2	27	17	17	29	36	14	20	38	25
"YGR117C"	1	3	0	6	0	2	3	6	2	3	6	5
"YGR118W"	2231	2437	872	2399	2432	1812	616	826	380	617	731	570
"YGR119C"	16	8	3	10	13	10	5	8	3	8	11	6
"YGR120C"	16	12	5	9	14	11	16	12	4	13	4	16
"YGR121C"	0	1	1	1	0	0	40	28	14	31	43	27
"YGR121W.A"	1	1	0	0	0	1	1	1	0	0	1	2
"YGR122W"	5	4	4	6	5	3	10	16	4	20	11	8
"YGR122C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR123C"	45	44	17	37	38	29	3	1	0	0	1	1
"YGR124W"	128	140	42	174	134	110	154	189	77	128	166	126
"YGR125W"	12	6	2	9	15	9	37	50	17	37	45	55
"YGR126W"	0	0	0	0	1	0	3	3	0	2	2	0
"YGR127W"	1	1	1	2	1	3	6	6	6	5	6	6
"YGR128C"	38	24	10	39	23	24	0	0	0	1	0	1
"YGR129W"	2	2	2	0	3	2	1	0	0	2	1	2
"YGR130C"	19	13	6	22	19	12	57	75	38	61	55	37
"YGR131W"	0	0	0	0	3	0	5	8	4	9	4	5
"YGR132C"	52	45	15	53	45	34	77	112	52	98	107	95
"YGR133W"	12	12	5	16	9	10	25	30	12	25	15	19
"YGR134W"	4	5	0	5	4	2	8	6	3	6	4	7
"YGR135W"	137	151	39	142	130	111	156	195	91	166	155	143
"YGR136W"	0	0	0	0	1	0	2	3	0	1	0	1
"YGR137W"	21	21	8	16	14	10	71	52	25	51	48	47
"YGR138C"	2	2	0	1	0	2	4	8	5	5	5	10
"YGR139W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR140W"	5	2	3	3	4	4	1	4	5	7	6	2
"YGR141W"	9	19	4	13	10	11	39	33	16	22	30	20
"YGR142W"	17	15	4	9	18	7	0	3	2	2	1	6
"YGR143W"	1	1	0	1	0	0	4	2	1	1	4	2
"YGR144W"	2	1	0	2	0	0	1	0	1	0	0	0
"YGR145W"	21	18	7	35	24	12	2	1	0	1	0	1
"YGR146C"	21	35	6	21	18	12	4	8	4	2	7	3
"YGR146C.A"	0	1	0	0	1	1	1	1	0	0	0	0
"YGR147C"	16	16	2	24	32	20	15	28	6	15	18	13
"YGR148C"	1617	1753	629	1793	1695	1216	395	446	234	361	483	350
"YGR149W"	9	6	1	9	6	5	32	43	21	28	32	24
"YGR150C"	9	8	1	7	4	3	3	7	4	7	3	8
"YGR151C"	5	4	2	4	0	3	6	5	1	1	2	3
"YGR152C"	7	1	1	3	3	3	1	2	0	3	1	3
"YGR153W"	3	1	0	2	5	0	11	16	2	9	7	7
"YGR154C"	2	2	0	3	2	1	16	14	10	8	15	14
"YGR155W"	198	195	70	219	195	128	94	124	43	117	131	81
"YGR156W"	13	6	5	12	8	2	4	13	5	9	5	8
"YGR157W"	56	71	34	75	63	56	113	126	74	93	115	70
"YGR158C"	43	35	6	37	39	29	3	5	2	2	3	1
"YGR159C"	235	279	109	300	296	194	0	2	1	0	1	0
"YGR160W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR161C"	1	0	0	2	0	0	39	47	19	55	45	43
"YGR161W.C"	8	13	3	17	10	3	57	71	40	50	70	48
"YGR161W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR161W.B"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR161C.D"	0	0	0	0	0	1	0	0	0	1	0	0
"YGR161C.C"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR162W"	5	7	0	4	3	0	1	2	1	1	0	0
"YGR163W"	14	20	4	17	20	12	22	20	19	17	29	18
"YGR164W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR165W"	10	9	4	9	6	8	13	16	7	8	12	9
"YGR166W"	9	11	6	12	5	12	11	9	10	11	22	8
"YGR167W"	133	140	45	119	134	99	160	208	86	160	158	144
"YGR168C"	7	2	1	7	7	4	7	13	7	16	13	7
"YGR169C"	8	7	0	5	3	2	6	8	2	7	7	2
"YGR169C.A"	31	37	20	37	48	43	19	19	11	22	12	20
"YGR170W"	6	5	1	6	6	3	6	5	3	7	16	4
"YGR171C"	3	3	1	4	5	0	4	11	4	6	2	4
"YGR172C"	50	60	10	53	63	41	41	60	28	43	37	34
"YGR173W"	69	45	18	54	55	33	5	5	3	7	2	0
"YGR174C"	13	16	2	7	6	5	30	43	15	24	44	31
"YGR174W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR175C"	80	89	31	91	57	52	85	95	54	88	89	71
"YGR176W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR177C"	5	8	3	11	5	3	2	3	0	2	2	1
"YGR178C"	26	31	9	37	29	20	27	32	22	25	30	29
"YGR179C"	9	5	3	10	5	3	4	10	3	13	7	6
"YGR180C"	124	108	43	99	101	70	93	141	78	126	134	121
"YGR181W"	60	74	20	74	58	57	83	103	51	76	103	64
"YGR182C"	38	44	12	40	41	32	74	100	39	66	79	75
"YGR183C"	1	0	1	3	3	1	19	20	8	13	8	14
"YGR184C"	11	13	4	18	13	11	35	52	22	30	31	43
"YGR185C"	197	189	70	233	176	134	95	121	63	101	98	85
"YGR186W"	21	24	6	9	12	13	18	28	6	15	23	18
"YGR187C"	35	42	12	31	36	32	5	6	2	3	2	5
"YGR188C"	3	4	0	4	1	3	10	10	2	8	9	7
"YGR189C"	63	50	15	57	49	33	139	218	71	118	144	144
"YGR190C"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR191W"	26	22	10	25	22	25	17	19	11	19	25	16
"YGR192C"	10161	11354	3843	11262	10738	7861	11024	13223	6058	10883	11971	9519
"YGR193C"	26	20	9	31	34	15	45	39	34	36	42	41
"YGR194C"	3	4	2	3	3	2	26	35	11	26	18	16
"YGR195W"	42	42	15	30	34	31	8	23	8	14	13	5
"YGR196C"	3	6	3	4	5	3	7	18	3	8	10	7
"YGR197C"	6	4	2	1	4	3	7	3	6	7	8	5
"YGR198W"	10	8	3	12	12	8	13	13	6	13	18	17
"YGR199W"	5	7	2	3	10	6	17	18	7	8	23	18
"YGR200C"	32	31	9	22	33	32	1	0	0	0	1	2
"YGR201C"	16	16	7	5	8	9	8	17	17	14	17	18
"YGR202C"	3	4	3	8	7	3	5	12	3	14	11	6
"YGR203W"	19	16	8	20	13	2	50	46	25	30	44	35
"YGR204W"	52	51	18	49	67	44	150	182	72	148	150	123
"YGR204C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR205W"	5	3	0	5	4	1	8	10	6	6	5	2
"YGR206W"	5	13	4	11	8	11	24	36	8	20	27	20
"YGR207C"	52	48	15	54	40	26	56	67	21	61	51	59
"YGR208W"	38	25	19	29	35	27	14	26	7	14	21	21
"YGR209C"	525	560	220	534	474	388	2216	2519	1141	2036	2377	1948
"YGR210C"	36	40	21	33	40	29	19	31	9	21	21	9
"YGR211W"	66	64	20	61	65	40	2	3	1	3	3	1
"YGR212W"	0	0	0	0	3	0	6	8	1	4	3	4
"YGR213C"	0	0	0	0	0	0	4	0	1	1	0	1
"YGR214W"	821	875	305	974	856	631	208	267	131	236	242	195
"YGR215W"	11	27	3	18	24	16	25	35	19	21	39	23
"YGR216C"	5	15	5	10	7	7	10	17	3	9	14	7
"YGR217W"	10	3	1	4	6	1	7	6	5	1	8	2
"YGR218W"	18	11	4	8	14	9	21	31	8	29	32	17
"YGR219W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR220C"	27	31	11	30	19	29	31	44	15	25	29	35
"YGR221C"	4	3	1	3	3	1	8	7	1	3	7	12
"snR7.L"	0	0	0	0	0	0	0	0	0	0	0	0
"snR7.S"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR222W"	12	11	5	8	10	6	15	19	6	10	17	12
"YGR223C"	8	4	1	9	13	3	15	13	8	23	21	22
"YGR224W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR225W"	0	0	0	0	0	0	1	0	0	0	2	0
"YGR226C"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR227W"	9	0	1	10	9	6	6	17	8	8	7	8
"YGR228W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR229C"	5	8	3	6	9	11	4	6	5	6	1	6
"YGR230W"	15	36	6	16	15	16	16	23	8	20	16	17
"YGR231C"	26	36	10	29	29	22	74	97	43	83	92	69
"YGR232W"	54	52	12	56	39	31	112	110	49	84	100	69
"YGR233C"	18	24	7	16	14	15	15	15	6	15	15	12
"YGR234W"	374	347	108	358	362	249	231	339	124	245	279	223
"YGR235C"	31	22	10	35	34	27	53	77	38	59	62	62
"YGR236C"	0	0	0	0	0	0	1	2	0	1	1	2
"YGR237C"	1	0	2	2	4	1	7	7	5	5	10	5
"YGR238C"	1	0	3	1	1	2	9	9	3	10	8	10
"YGR239C"	9	9	5	21	9	8	22	24	13	25	29	20
"YGR240C"	136	148	64	153	122	107	156	177	80	130	153	116
"YGR240C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR241C"	10	9	4	8	9	6	21	16	10	15	16	10
"YGR242W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR243W"	2	2	0	1	0	3	8	13	2	17	11	19
"YGR244C"	16	18	6	15	13	10	68	75	40	75	72	62
"YGR245C"	28	28	10	26	32	12	1	1	1	0	2	0
"YGR246C"	15	16	2	23	12	9	16	25	10	12	15	15
"YGR247W"	7	1	3	5	9	2	7	11	2	6	9	5
"YGR248W"	0	0	0	1	0	0	46	45	18	52	58	37
"YGR249W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR250C"	3	3	0	3	1	2	10	11	9	18	12	14
"YGR251W"	1	3	0	2	4	0	3	2	3	1	2	0
"YGR252W"	6	17	6	8	13	6	16	20	9	18	19	6
"YGR253C"	145	145	55	135	151	108	133	212	80	150	192	143
"YGR254W"	110	127	46	139	117	85	309	356	159	298	353	291
"YGR255C"	8	11	4	7	8	2	23	23	13	15	35	16
"YGR256W"	1	3	1	2	1	1	1	8	2	4	4	4
"YGR257C"	18	18	9	20	18	10	21	23	12	15	24	11
"YGR258C"	3	4	1	0	6	2	9	8	4	3	9	6
"YGR259C"	0	0	0	0	0	0	0	1	0	0	0	0
"YGR260W"	46	48	17	38	46	45	23	38	26	39	39	35
"YGR261C"	14	13	9	13	11	9	17	18	4	13	12	21
"YGR262C"	47	43	15	39	50	38	35	38	17	24	33	30
"YGR263C"	8	9	1	7	6	6	7	11	6	6	13	6
"YGR264C"	86	69	25	76	84	54	19	37	12	18	32	19
"YGR265W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR266W"	11	9	5	6	9	9	25	23	15	23	24	16
"YGR267C"	69	74	24	68	61	62	103	133	62	123	123	97
"YGR268C"	1	1	0	2	1	0	6	6	2	8	10	12
"YGR269W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR270W"	16	13	3	14	8	14	25	29	11	17	31	25
"YGR270C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR271W"	2	3	2	4	5	4	7	9	2	9	9	6
"YGR271C.A"	6	6	1	6	4	7	0	0	1	1	0	0
"YGR273C"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR274C"	4	13	3	11	11	2	9	9	9	6	13	11
"YGR275W"	1	1	0	2	1	0	0	1	0	0	1	2
"YGR276C"	3	1	0	1	2	3	4	5	3	3	7	1
"YGR277C"	18	15	7	11	31	10	32	45	16	21	34	18
"YGR278W"	5	2	0	0	6	4	9	6	2	12	6	7
"YGR279C"	243	277	114	265	208	206	259	266	149	293	339	231
"YGR280C"	55	44	14	59	59	30	2	1	0	5	1	1
"YGR281W"	7	6	2	7	8	4	27	32	13	16	23	21
"YGR282C"	464	493	171	462	430	364	801	1099	427	867	901	775
"YGR283C"	31	20	7	27	11	14	0	0	1	1	1	0
"YGR284C"	53	68	22	81	68	44	101	119	72	101	108	91
"YGR285C"	269	284	93	278	301	192	134	180	80	164	151	140
"YGR286C"	10	17	2	8	12	7	26	16	12	21	19	18
"YGR287C"	0	1	1	0	1	2	3	9	0	4	0	0
"YGR288W"	0	0	0	0	0	0	1	1	0	1	1	1
"YGR289C"	0	1	1	2	2	0	1	2	0	2	0	1
"YGR290W"	0	0	0	0	0	0	0	1	0	0	0	0
"YGR291C"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR292W"	0	0	0	0	1	0	0	2	1	1	0	1
"YGR293C"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR294W"	1	0	0	0	0	0	0	0	0	0	0	1
"YGR295C"	14	14	10	18	12	12	22	30	13	21	29	14
"YGR296W"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR296C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YGR296C.B"	0	0	0	0	0	0	0	0	0	0	0	0
"YLL067C"	0	0	0	0	0	0	0	0	0	0	0	0
"YLL067W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YLL066W.B"	0	0	0	0	0	0	0	0	0	0	0	0
"YLL066C"	0	0	0	0	0	0	0	0	0	0	0	0
"YLL066W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YLL065W"	0	0	0	0	0	0	0	0	0	0	0	0
"YLL064C"	0	0	0	0	0	0	0	0	0	0	0	0
"YLL063C"	0	5	0	4	5	2	4	11	4	4	8	6
"YLL062C"	6	8	2	9	7	5	3	0	1	3	2	4
"YLL061W"	16	14	6	20	13	11	2	2	2	2	2	1
"YLL060C"	0	0	0	0	0	0	0	2	1	1	1	0
"YLL059C"	0	0	0	0	0	0	0	0	0	0	0	0
"YLL058W"	1	6	0	1	0	1	6	13	4	14	10	11
"YLL057C"	0	1	2	0	0	0	2	4	1	1	0	2
"YLL056C"	3	1	1	2	1	0	8	2	0	1	6	4
"YLL055W"	1	3	3	4	1	1	5	3	1	7	4	4
"YLL054C"	2	2	0	3	5	3	5	5	1	2	4	3
"YLL053C"	0	0	0	0	0	0	1	1	0	1	0	0
"YLL052C"	0	0	0	0	0	0	0	0	0	0	0	0
"YLL051C"	5	11	6	12	9	14	16	31	10	22	14	15
"YLL050C"	450	514	185	565	490	358	818	1082	491	740	832	758
"YLL049W"	1	3	0	0	1	0	1	7	3	4	2	4
"YLL048C"	7	4	0	4	3	4	11	10	5	6	9	3
"YLL047W"	0	0	0	0	0	0	0	1	0	0	0	2
"YLL046C"	0	0	0	0	0	0	2	0	0	0	1	0
"YLL045C"	2693	2837	1026	3047	2837	1995	538	632	329	556	608	464
"YLL044W"	1	3	2	2	1	3	0	0	1	0	0	1
"YLL043W"	8	3	0	4	5	2	9	6	4	6	12	7
"YLL042C"	2	1	0	0	1	1	1	0	0	3	5	0
"YLL041C"	23	24	6	25	23	16	77	106	39	60	67	67
"YLL040C"	20	16	3	11	11	8	40	47	25	33	49	33
"YLL039C"	18	19	4	11	15	12	372	469	237	371	408	346
"YLL038C"	2	0	0	0	0	0	0	3	0	1	0	0
"YLL037W"	0	0	0	0	0	0	0	2	1	0	1	0
"YLL036C"	18	17	6	13	9	12	9	15	4	9	8	6
"YLL035W"	10	10	2	12	11	2	3	0	0	2	1	1
"YLL034C"	25	21	4	16	14	15	2	1	0	1	0	0
"YLL033W"	2	1	0	2	1	1	5	4	0	0	2	2
"YLL032C"	1	0	0	2	2	2	2	0	1	6	6	2
"YLL031C"	10	10	3	10	12	7	19	24	9	17	17	15
"YLL030C"	0	0	0	0	0	0	0	0	0	0	0	0
"YLL029W"	20	23	5	15	24	10	17	35	15	17	28	17
"YLL028W"	13	12	2	8	10	8	14	16	3	6	12	14
"YLL027W"	18	15	5	15	19	7	24	31	12	14	22	13
"YLL026W"	15	12	5	22	22	10	39	38	16	36	48	36
"YLL025W"	1	0	0	1	2	0	3	3	0	5	2	4
"YLL024C"	732	866	257	754	780	527	276	376	172	299	330	268
"YLL023C"	24	24	7	18	28	16	69	61	36	41	83	39
"YLL022C"	11	12	4	4	12	5	9	12	4	14	7	9
"YLL021W"	1	4	1	4	1	1	3	3	1	4	3	7
"YLL020C"	0	2	1	8	2	1	16	23	10	12	10	16
"YLL019C"	0	0	0	3	0	0	4	2	2	6	1	2
"YLL019W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YLL018C.A"	15	10	2	12	8	7	19	26	15	23	23	18
"YLL018C"	85	103	38	95	86	73	96	113	43	87	104	77
"YLL017W"	0	0	0	0	0	0	0	0	0	0	0	0
"YLL016W"	2	1	0	1	2	1	1	4	2	4	3	3
"YLL015W"	12	8	5	10	4	3	11	26	7	15	22	17
"YLL014W"	60	56	18	88	73	27	74	97	48	78	86	72
