"YPD1"	"YPD2"	"YPD3"	"YPD4"	"YPD5"	"YPD6"	"RAPA1"	"RAPA2"	"RAPA3"	"RAPA4"	"RAPA5"	"RAPA6"
"YDL158C"	9	11	2	2	7	4	3	10	3	4	11	3
"YDL157C"	26	25	9	25	30	20	33	31	15	27	39	41
"YDL156W"	1	1	0	0	1	1	0	0	1	0	0	1
"YDL155W"	13	10	7	12	11	8	13	14	5	15	11	8
"YDL154W"	2	3	0	0	5	2	4	6	2	7	4	3
"YDL153C"	26	33	11	32	30	17	0	1	0	1	1	0
"YDL152W"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL151C"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL150W"	22	18	6	17	28	23	1	3	0	0	4	0
"YDL149W"	2	1	0	2	1	1	5	7	10	11	5	1
"YDL148C"	15	22	12	17	16	17	0	0	0	0	1	0
"YDL147W"	89	95	26	93	80	66	91	101	64	88	99	73
"YDL146W"	3	2	1	1	0	1	5	12	4	7	4	9
"YDL145C"	14	21	3	24	21	10	30	31	19	39	23	26
"YDL144C"	16	12	5	15	21	14	34	59	16	31	26	39
"YDL143W"	104	129	48	110	145	82	75	94	46	86	79	74
"YDL142C"	7	7	5	9	5	9	20	25	11	29	20	14
"YDL141W"	12	7	4	12	9	4	14	10	9	12	13	10
"YDL140C"	37	43	16	38	35	27	33	58	23	48	42	41
"YDL139C"	1	2	0	0	1	0	1	0	0	1	1	0
"YDL138W"	1	2	2	2	2	3	10	6	9	5	8	4
"YDL137W"	206	229	72	197	193	142	413	524	244	391	469	363
"YDL136W"	221	237	75	262	246	181	45	46	24	41	42	25
"YDL135C"	31	42	13	39	45	28	71	84	49	81	73	64
"YDL134C"	46	51	27	43	55	43	71	62	27	47	53	54
"YDL133C.A"	180	165	63	161	171	81	153	192	80	123	151	138
"YDL133W"	14	15	8	14	12	12	20	21	12	12	21	9
"YDL132W"	2	2	0	3	3	0	2	4	6	6	5	4
"YDL131W"	64	56	23	60	54	31	74	113	40	82	101	70
"YDL130W.A"	6	10	6	12	7	3	119	151	63	120	134	97
"YDL130W"	1921	2070	744	2139	2091	1500	727	891	409	703	782	623
"YDL129W"	0	0	0	1	0	0	0	0	0	1	1	0
"YDL128W"	40	34	8	29	33	26	43	64	19	44	50	50
"YDL127W"	5	5	1	5	2	1	13	7	4	8	6	3
"YDL126C"	128	102	52	108	116	83	212	306	117	207	237	185
"YDL125C"	291	330	129	304	276	205	260	313	156	263	310	216
"YDL124W"	44	41	11	26	43	30	232	330	122	253	298	234
"YDL123W"	17	23	8	23	17	14	37	47	19	36	37	40
"YDL122W"	22	23	4	13	21	6	4	9	5	9	4	9
"YDL121C"	86	86	30	79	80	57	17	18	12	21	23	15
"YDL120W"	65	70	24	54	61	52	66	59	44	64	55	45
"YDL119C"	3	3	2	1	8	2	19	23	4	14	16	15
"YDL118W"	0	0	0	0	0	0	0	1	0	1	1	1
"YDL117W"	19	12	5	23	35	12	18	37	17	18	34	20
"YDL116W"	15	8	2	23	17	15	18	23	7	12	15	13
"YDL115C"	11	15	2	21	15	10	29	47	19	29	33	23
"YDL114W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL114W"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL113C"	4	2	0	1	6	3	5	12	6	8	6	15
"YDL112W"	16	12	3	30	18	11	4	3	2	1	3	5
