Fabp7	Sox11	Cd24a
0.0	6.0	2.0
1.0	6.0	3.0
2.0	15.0	8.0
0.0	9.0	2.0
0.0	4.0	4.0
4.0	29.0	8.0
3.0	12.0	7.0
0.0	5.0	2.0
0.0	7.0	2.0
0.0	3.0	1.0
0.0	3.0	2.0
0.0	4.0	5.0
0.0	5.0	1.0
1.0	7.0	3.0
5.0	32.0	4.0
3.0	27.0	11.0
0.0	3.0	0.0
28.0	4.0	3.0
0.0	4.0	1.0
1.0	17.0	11.0
0.0	0.0	3.0
1.0	3.0	4.0
0.0	3.0	4.0
0.0	9.0	7.0
1.0	3.0	0.0
0.0	2.0	1.0
0.0	7.0	0.0
0.0	2.0	6.0
0.0	1.0	2.0
0.0	20.0	14.0
0.0	9.0	2.0
0.0	9.0	1.0
1.0	1.0	1.0
0.0	6.0	7.0
0.0	9.0	1.0
0.0	7.0	3.0
0.0	2.0	6.0
1.0	33.0	15.0
0.0	6.0	6.0
2.0	22.0	2.0
0.0	3.0	1.0
0.0	15.0	9.0
0.0	6.0	5.0
0.0	3.0	0.0
0.0	6.0	7.0
0.0	3.0	5.0
0.0	3.0	5.0
0.0	8.0	5.0
1.0	17.0	13.0
3.0	10.0	10.0
0.0	3.0	5.0
0.0	6.0	1.0
0.0	9.0	4.0
0.0	4.0	0.0
1.0	8.0	2.0
0.0	13.0	5.0
0.0	7.0	7.0
0.0	4.0	4.0
0.0	10.0	1.0
0.0	1.0	1.0
0.0	3.0	1.0
1.0	3.0	3.0
1.0	2.0	5.0
1.0	7.0	3.0
0.0	17.0	5.0
245.0	2.0	2.0
0.0	3.0	4.0
1.0	4.0	2.0
0.0	4.0	3.0
0.0	4.0	1.0
1.0	2.0	5.0
1.0	3.0	5.0
3.0	24.0	7.0
1.0	9.0	2.0
0.0	4.0	3.0
0.0	2.0	1.0
0.0	22.0	21.0
0.0	29.0	5.0
0.0	7.0	5.0
0.0	8.0	4.0
0.0	5.0	3.0
1.0	36.0	7.0
1.0	54.0	15.0
2.0	8.0	4.0
2.0	5.0	4.0
0.0	1.0	0.0
0.0	4.0	4.0
1.0	16.0	2.0
1.0	9.0	5.0
1.0	3.0	3.0
2.0	10.0	11.0
0.0	10.0	1.0
1.0	1.0	2.0
1.0	40.0	22.0
1.0	2.0	3.0
1.0	3.0	3.0
1.0	5.0	6.0
1.0	42.0	18.0
0.0	1.0	0.0
0.0	3.0	4.0
0.0	3.0	1.0
2.0	8.0	2.0
2.0	12.0	3.0
1.0	5.0	8.0
0.0	17.0	5.0
0.0	3.0	2.0
3.0	4.0	3.0
3.0	19.0	2.0
0.0	1.0	2.0
