"YLR044C"	"YHR174W"	"YPR035W"
"187_YPDRapa"	11	21	7
"188_YPDRapa"	53	49	11
"189_YPDRapa"	42	54	6
"190_YPDRapa"	9	19	3
"191_YPDRapa"	54	36	7
"192_YPDRapa"	12	7	3
"193_YPDRapa"	14	15	3
"194_YPDRapa"	31	25	5
"195_YPDRapa"	18	31	9
"196_YPDRapa"	5	6	5
"197_YPDRapa"	25	49	12
"198_YPDRapa"	41	25	4
"199_YPDRapa"	29	35	5
"200_YPDRapa"	58	80	21
"201_YPDRapa"	17	25	4
"202_YPDRapa"	43	56	9
"203_YPDRapa"	19	23	3
"204_YPDRapa"	16	55	12
"205_YPDRapa"	9	16	0
"206_YPDRapa"	19	28	7
"207_YPDRapa"	70	77	18
"208_YPDRapa"	30	32	7
"209_YPDRapa"	23	23	2
"210_YPDRapa"	83	104	26
"211_YPDRapa"	22	14	3
"212_YPDRapa"	29	38	7
"213_YPDRapa"	39	28	3
"214_YPDRapa"	22	16	3
"215_YPDRapa"	17	26	15
"216_YPDRapa"	36	53	13
"217_YPDRapa"	33	38	4
"218_YPDRapa"	55	79	7
"219_YPDRapa"	18	20	3
"220_YPDRapa"	76	94	32
"221_YPDRapa"	24	28	4
"222_YPDRapa"	63	41	17
"223_YPDRapa"	11	13	3
"224_YPDRapa"	37	56	5
"225_YPDRapa"	22	19	6
"226_YPDRapa"	44	59	13
"227_YPDRapa"	13	14	0
"228_YPDRapa"	25	30	1
"229_YPDRapa"	29	34	3
"230_YPDRapa"	18	11	4
"231_YPDRapa"	13	12	2
"232_YPDRapa"	50	71	16
"233_YPDRapa"	20	9	2
"234_YPDRapa"	20	40	10
"235_YPDRapa"	39	54	14
"236_YPDRapa"	33	43	4
"237_YPDRapa"	10	29	1
"238_YPDRapa"	37	52	8
"239_YPDRapa"	9	15	5
"240_YPDRapa"	19	24	5
"241_YPDRapa"	27	15	3
"242_YPDRapa"	20	14	2
"243_YPDRapa"	11	18	5
"244_YPDRapa"	47	45	7
"245_YPDRapa"	19	18	3
"246_YPDRapa"	19	22	7
"247_YPDRapa"	51	76	9
"248_YPDRapa"	30	60	6
"249_YPDRapa"	20	18	7
"250_YPDRapa"	68	49	9
"251_YPDRapa"	20	31	4
"252_YPDRapa"	17	12	2
"253_YPDRapa"	24	25	11
"254_YPDRapa"	15	17	7
