"YLR044C"	"YHR174W"	"YPR035W"
"2125_YPDRapa"	32	48	4
"2126_YPDRapa"	14	25	2
"2127_YPDRapa"	10	23	7
"2128_YPDRapa"	17	29	4
"2129_YPDRapa"	24	28	7
"2130_YPDRapa"	13	15	2
"2131_YPDRapa"	17	15	6
"2132_YPDRapa"	37	29	9
"2133_YPDRapa"	60	63	17
"2134_YPDRapa"	51	68	11
"2135_YPDRapa"	20	22	2
"2136_YPDRapa"	32	36	5
"2137_YPDRapa"	50	53	6
"2138_YPDRapa"	10	10	3
"2139_YPDRapa"	42	39	6
"2140_YPDRapa"	27	27	1
"2141_YPDRapa"	23	43	9
"2142_YPDRapa"	19	39	10
"2143_YPDRapa"	26	30	3
"2144_YPDRapa"	28	28	1
"2145_YPDRapa"	39	38	11
"2146_YPDRapa"	26	45	2
"2147_YPDRapa"	16	12	1
"2148_YPDRapa"	10	10	3
"2149_YPDRapa"	12	8	4
"2150_YPDRapa"	20	32	7
"2151_YPDRapa"	19	21	4
"2152_YPDRapa"	32	26	2
"2153_YPDRapa"	20	20	4
"2154_YPDRapa"	36	56	8
"2155_YPDRapa"	22	26	5
"2156_YPDRapa"	35	45	5
"2157_YPDRapa"	34	47	7
"2158_YPDRapa"	40	47	15
"2159_YPDRapa"	21	22	3
"2160_YPDRapa"	27	22	15
"2161_YPDRapa"	12	18	3
"2162_YPDRapa"	25	26	3
"2163_YPDRapa"	23	19	9
"2164_YPDRapa"	21	23	5
"2165_YPDRapa"	42	52	12
"2166_YPDRapa"	30	37	1
"2167_YPDRapa"	52	63	21
"2168_YPDRapa"	36	26	5
"2169_YPDRapa"	18	35	1
"2170_YPDRapa"	13	26	3
"2171_YPDRapa"	37	35	6
"2172_YPDRapa"	34	23	4
"2173_YPDRapa"	30	23	1
"2174_YPDRapa"	35	24	5
"2175_YPDRapa"	11	14	4
"2176_YPDRapa"	50	98	21
"2177_YPDRapa"	27	22	3
"2178_YPDRapa"	30	42	13
"2179_YPDRapa"	21	19	1
"2180_YPDRapa"	16	18	5
"2181_YPDRapa"	29	38	12
"2182_YPDRapa"	67	55	7
"2183_YPDRapa"	46	30	10
"2184_YPDRapa"	5	13	4
"2185_YPDRapa"	36	30	8
"2186_YPDRapa"	51	79	17
"2187_YPDRapa"	25	15	5
"2188_YPDRapa"	19	30	5
"2189_YPDRapa"	28	18	12
"2190_YPDRapa"	33	30	10
"2191_YPDRapa"	16	18	6
"2192_YPDRapa"	20	36	10
"2193_YPDRapa"	47	26	3
"2194_YPDRapa"	46	45	4
"2195_YPDRapa"	51	53	3
"2196_YPDRapa"	15	29	7
"2197_YPDRapa"	41	50	11
"2198_YPDRapa"	111	148	15
"2199_YPDRapa"	66	131	21
"2200_YPDRapa"	65	78	22
"2201_YPDRapa"	24	25	5
"2202_YPDRapa"	15	22	0
"2203_YPDRapa"	98	135	34
"2204_YPDRapa"	52	67	18
"2205_YPDRapa"	52	43	8
"2206_YPDRapa"	22	22	4
"2207_YPDRapa"	27	30	5
"2208_YPDRapa"	8	21	5
"2209_YPDRapa"	36	48	8
"2210_YPDRapa"	34	44	12
"2211_YPDRapa"	43	50	7
"2212_YPDRapa"	26	32	17
"2213_YPDRapa"	14	13	1
"2214_YPDRapa"	28	38	6
"2215_YPDRapa"	15	21	7
"2216_YPDRapa"	20	29	7
"2217_YPDRapa"	33	35	16
"2218_YPDRapa"	55	44	4
"2219_YPDRapa"	36	32	3
"2220_YPDRapa"	61	31	7
"2221_YPDRapa"	23	23	5
"2222_YPDRapa"	18	38	12
"2223_YPDRapa"	20	19	4
"2224_YPDRapa"	15	25	9
"2225_YPDRapa"	38	54	7
"2226_YPDRapa"	24	30	5
"2227_YPDRapa"	23	23	4
"2228_YPDRapa"	52	76	9
"2229_YPDRapa"	12	15	2
"2230_YPDRapa"	24	24	8
"2231_YPDRapa"	28	24	5
"2232_YPDRapa"	34	10	3
"2233_YPDRapa"	49	53	20
"2234_YPDRapa"	16	23	4
"2235_YPDRapa"	15	12	1
"2236_YPDRapa"	42	39	6
"2237_YPDRapa"	61	65	4
"2238_YPDRapa"	28	32	8
"2239_YPDRapa"	71	66	20
"2240_YPDRapa"	68	44	10
"2241_YPDRapa"	12	20	11
"2242_YPDRapa"	23	31	4
"2243_YPDRapa"	30	29	4
"2244_YPDRapa"	48	39	7
"2245_YPDRapa"	26	42	15
"2246_YPDRapa"	15	15	3
"2247_YPDRapa"	24	26	6
"2248_YPDRapa"	5	16	2
"2249_YPDRapa"	13	23	4
"2250_YPDRapa"	45	87	11
"2251_YPDRapa"	21	29	8
"2252_YPDRapa"	35	33	13
"2253_YPDRapa"	17	14	1
"2254_YPDRapa"	33	41	7
"2255_YPDRapa"	58	38	7
"2256_YPDRapa"	32	39	3
"2257_YPDRapa"	11	27	1
"2258_YPDRapa"	30	55	8
"2259_YPDRapa"	22	22	8
"2260_YPDRapa"	33	51	10
"2261_YPDRapa"	14	17	0
"2262_YPDRapa"	38	36	3
"2263_YPDRapa"	10	9	3
"2264_YPDRapa"	32	33	4
"2265_YPDRapa"	13	23	5
"2266_YPDRapa"	29	39	7
"2267_YPDRapa"	42	42	5
"2268_YPDRapa"	35	43	7
"2269_YPDRapa"	31	30	9
"2270_YPDRapa"	33	50	8
"2271_YPDRapa"	12	25	5
"2272_YPDRapa"	82	104	18
"2273_YPDRapa"	43	72	10
"2274_YPDRapa"	90	116	17
"2275_YPDRapa"	23	19	5
"2276_YPDRapa"	44	45	6
"2277_YPDRapa"	20	42	10
"2278_YPDRapa"	25	31	3
"2279_YPDRapa"	58	53	19
"2280_YPDRapa"	12	13	0
"2281_YPDRapa"	23	26	4
"2282_YPDRapa"	89	101	13
"2283_YPDRapa"	41	46	8
"2284_YPDRapa"	61	57	14
"2285_YPDRapa"	44	29	5
"2286_YPDRapa"	63	60	27
"2287_YPDRapa"	4	11	4
"2288_YPDRapa"	53	36	8
"2289_YPDRapa"	68	51	12
"2290_YPDRapa"	66	58	8
"2291_YPDRapa"	32	40	6
"2292_YPDRapa"	14	19	0
"2293_YPDRapa"	15	18	2
"2294_YPDRapa"	16	13	3
"2295_YPDRapa"	25	40	16
"2296_YPDRapa"	11	10	2
"2297_YPDRapa"	20	23	3
"2298_YPDRapa"	22	22	5
"2299_YPDRapa"	9	12	2
"2300_YPDRapa"	65	69	4
"2301_YPDRapa"	71	73	17
"2302_YPDRapa"	35	34	1
"2303_YPDRapa"	27	30	6
"2304_YPDRapa"	27	49	7
"2305_YPDRapa"	83	73	10
"2306_YPDRapa"	16	30	5
"2307_YPDRapa"	29	25	8
"2308_YPDRapa"	13	16	2
"2309_YPDRapa"	33	36	12
"2310_YPDRapa"	16	23	6
"2311_YPDRapa"	13	17	2
"2312_YPDRapa"	15	17	3
"2313_YPDRapa"	9	20	8
"2314_YPDRapa"	54	91	17
"2315_YPDRapa"	34	36	12
"2316_YPDRapa"	34	48	7
"2317_YPDRapa"	38	29	5
"2318_YPDRapa"	21	37	8
"2319_YPDRapa"	18	21	7
"2320_YPDRapa"	14	14	0
"2321_YPDRapa"	15	32	4
"2322_YPDRapa"	8	9	3
"2323_YPDRapa"	37	38	11
"2324_YPDRapa"	18	23	0
"2325_YPDRapa"	21	5	2
"2326_YPDRapa"	38	49	12
"2327_YPDRapa"	16	13	1
"2328_YPDRapa"	53	77	16
"2329_YPDRapa"	26	20	3
"2330_YPDRapa"	30	29	10
"2331_YPDRapa"	33	19	5
"2332_YPDRapa"	18	19	2
"2333_YPDRapa"	11	23	7
"2334_YPDRapa"	12	10	5
"2335_YPDRapa"	30	27	4
"2336_YPDRapa"	28	32	9
"2337_YPDRapa"	12	18	5
"2338_YPDRapa"	6	19	16
"2339_YPDRapa"	34	41	4
"2340_YPDRapa"	11	17	3
"2341_YPDRapa"	36	21	2
"2342_YPDRapa"	19	15	5
"2343_YPDRapa"	27	26	11
"2344_YPDRapa"	51	66	15
"2345_YPDRapa"	42	26	4
"2346_YPDRapa"	20	18	4
"2347_YPDRapa"	21	15	2
"2348_YPDRapa"	41	40	8
"2349_YPDRapa"	35	36	2
"2350_YPDRapa"	10	10	3
"2351_YPDRapa"	22	23	7
"2352_YPDRapa"	25	24	6
"2353_YPDRapa"	15	13	4
"2354_YPDRapa"	31	17	3
"2355_YPDRapa"	25	31	8
"2356_YPDRapa"	16	18	8
"2357_YPDRapa"	14	12	3
"2358_YPDRapa"	30	44	6
"2359_YPDRapa"	53	49	2
"2360_YPDRapa"	21	32	2
"2361_YPDRapa"	17	26	2
"2362_YPDRapa"	32	32	6
"2363_YPDRapa"	25	18	11
"2364_YPDRapa"	18	13	6
"2365_YPDRapa"	16	33	2
"2366_YPDRapa"	9	8	0
"2367_YPDRapa"	21	8	1
"2368_YPDRapa"	13	18	3
"2369_YPDRapa"	46	51	13
"2370_YPDRapa"	15	19	9
"2371_YPDRapa"	233	177	46
"2372_YPDRapa"	21	27	7
"2373_YPDRapa"	43	33	3
"2374_YPDRapa"	40	41	8
"2375_YPDRapa"	34	39	3
"2376_YPDRapa"	19	34	8
"2377_YPDRapa"	24	25	4
"2378_YPDRapa"	19	46	6
"2379_YPDRapa"	21	28	3
"2380_YPDRapa"	15	24	13
"2381_YPDRapa"	9	10	6
"2382_YPDRapa"	17	18	6
"2383_YPDRapa"	34	32	2
"2384_YPDRapa"	19	14	0
"2385_YPDRapa"	22	27	4
"2386_YPDRapa"	28	23	4
"2387_YPDRapa"	2	4	2
"2388_YPDRapa"	27	23	2
"2389_YPDRapa"	13	23	5
"2390_YPDRapa"	39	54	14
"2391_YPDRapa"	27	16	3
"2392_YPDRapa"	15	37	2
"2393_YPDRapa"	26	27	6
"2394_YPDRapa"	14	21	12
"2395_YPDRapa"	38	38	11
"2396_YPDRapa"	23	24	10
"2397_YPDRapa"	41	34	5
"2398_YPDRapa"	50	45	7
"2399_YPDRapa"	6	11	3
"2400_YPDRapa"	22	28	8
"2401_YPDRapa"	15	24	4
"2402_YPDRapa"	37	35	3
"2403_YPDRapa"	43	72	46
"2404_YPDRapa"	37	58	8
"2405_YPDRapa"	64	73	8
"2406_YPDRapa"	50	33	4
"2407_YPDRapa"	23	29	6
"2408_YPDRapa"	46	23	4
"2409_YPDRapa"	35	37	6
"2410_YPDRapa"	19	18	7
"2411_YPDRapa"	14	23	6
"2412_YPDRapa"	19	12	1
"2413_YPDRapa"	89	116	25
"2414_YPDRapa"	58	84	16
"2415_YPDRapa"	26	34	3
"2416_YPDRapa"	64	74	12
"2417_YPDRapa"	25	22	4
"2418_YPDRapa"	5	13	3
"2419_YPDRapa"	16	12	2
"2420_YPDRapa"	16	27	3
"2421_YPDRapa"	71	68	11
"2422_YPDRapa"	29	38	6
"2423_YPDRapa"	20	18	1
"2424_YPDRapa"	19	29	1
"2425_YPDRapa"	21	10	1
"2426_YPDRapa"	16	25	0
"2427_YPDRapa"	17	20	7
"2428_YPDRapa"	30	36	12
"2429_YPDRapa"	13	13	3
"2430_YPDRapa"	51	44	11
"2431_YPDRapa"	51	59	17
"2432_YPDRapa"	8	19	4
"2433_YPDRapa"	18	22	5
"2434_YPDRapa"	32	45	3
"2435_YPDRapa"	8	19	1
"2436_YPDRapa"	72	98	8
"2437_YPDRapa"	18	38	8
"2438_YPDRapa"	19	11	4
"2439_YPDRapa"	11	33	9
"2440_YPDRapa"	35	44	10
"2441_YPDRapa"	41	47	10
"2442_YPDRapa"	10	18	1
"2443_YPDRapa"	20	18	4
"2444_YPDRapa"	94	90	12
"2445_YPDRapa"	10	11	0
"2446_YPDRapa"	17	19	3
"2447_YPDRapa"	14	31	4
"2448_YPDRapa"	39	50	6
"2449_YPDRapa"	19	11	2
"2450_YPDRapa"	43	36	3
"2451_YPDRapa"	27	30	12
"2452_YPDRapa"	17	11	6
"2453_YPDRapa"	54	59	13
"2454_YPDRapa"	29	13	5
"2455_YPDRapa"	38	26	1
"2456_YPDRapa"	16	31	1
"2457_YPDRapa"	20	18	5
"2458_YPDRapa"	41	35	2
"2459_YPDRapa"	39	49	10
"2460_YPDRapa"	31	41	16
"2461_YPDRapa"	23	20	2
"2462_YPDRapa"	33	27	10
"2463_YPDRapa"	14	31	7
"2464_YPDRapa"	26	24	5
"2465_YPDRapa"	10	8	6
"2466_YPDRapa"	45	58	8
"2467_YPDRapa"	30	24	6
"2468_YPDRapa"	10	11	13
"2469_YPDRapa"	30	43	8
"2470_YPDRapa"	25	25	9
"2471_YPDRapa"	10	12	2
"2472_YPDRapa"	18	19	5
"2473_YPDRapa"	12	20	5
"2474_YPDRapa"	13	16	3
"2475_YPDRapa"	17	25	3
"2476_YPDRapa"	34	37	3
"2477_YPDRapa"	21	16	1
"2478_YPDRapa"	22	26	6
"2479_YPDRapa"	50	64	17
"2480_YPDRapa"	29	19	2
"2481_YPDRapa"	50	57	3
"2482_YPDRapa"	31	41	8
"2483_YPDRapa"	46	61	8
"2484_YPDRapa"	49	31	5
"2485_YPDRapa"	35	29	2
"2486_YPDRapa"	61	49	5
"2487_YPDRapa"	31	32	9
"2488_YPDRapa"	11	14	6
"2489_YPDRapa"	47	61	10
"2490_YPDRapa"	23	19	1
"2491_YPDRapa"	23	22	6
"2492_YPDRapa"	21	32	6
"2493_YPDRapa"	28	33	4
"2494_YPDRapa"	6	15	1
"2495_YPDRapa"	13	11	1
"2496_YPDRapa"	17	27	3
"2497_YPDRapa"	4	19	5
"2498_YPDRapa"	88	113	31
"2499_YPDRapa"	31	43	5
"2500_YPDRapa"	18	34	12
"2501_YPDRapa"	71	67	11
"2502_YPDRapa"	14	15	6
"2503_YPDRapa"	35	21	3
"2504_YPDRapa"	14	13	1
"2505_YPDRapa"	17	14	0
"2506_YPDRapa"	14	12	2
"2507_YPDRapa"	26	16	1
"2508_YPDRapa"	43	47	9
"2509_YPDRapa"	16	21	6
"2510_YPDRapa"	16	19	5
"2511_YPDRapa"	52	48	9
"2512_YPDRapa"	9	13	2
"2513_YPDRapa"	39	30	2
"2514_YPDRapa"	11	23	4
"2515_YPDRapa"	17	42	8
"2516_YPDRapa"	29	30	6
"2517_YPDRapa"	80	106	22
"2518_YPDRapa"	18	18	7
"2519_YPDRapa"	25	32	12
"2520_YPDRapa"	15	15	2
"2521_YPDRapa"	18	18	0
"2522_YPDRapa"	26	30	4
"2523_YPDRapa"	41	47	10
"2524_YPDRapa"	49	76	9
"2525_YPDRapa"	19	31	1
"2526_YPDRapa"	51	45	15
"2527_YPDRapa"	7	13	3
"2528_YPDRapa"	14	23	3
"2529_YPDRapa"	20	21	12
"2530_YPDRapa"	7	15	2
"2531_YPDRapa"	34	38	8
"2532_YPDRapa"	47	25	10
"2533_YPDRapa"	14	17	8
"2534_YPDRapa"	45	32	3
"2535_YPDRapa"	42	46	13
"2536_YPDRapa"	40	53	6
"2537_YPDRapa"	21	17	5
"2538_YPDRapa"	47	30	3
"2539_YPDRapa"	94	109	17
"2540_YPDRapa"	18	21	4
"2541_YPDRapa"	34	13	2
"2542_YPDRapa"	18	26	7
"2543_YPDRapa"	6	27	1
"2544_YPDRapa"	38	34	15
"2545_YPDRapa"	36	41	8
"2546_YPDRapa"	17	21	9
"2547_YPDRapa"	31	30	5
"2548_YPDRapa"	19	31	8
"2549_YPDRapa"	22	35	8
"2550_YPDRapa"	79	108	13
"2551_YPDRapa"	23	19	3
"2552_YPDRapa"	7	16	5
"2553_YPDRapa"	14	24	1
"2554_YPDRapa"	4	6	3
"2555_YPDRapa"	50	48	7
"2556_YPDRapa"	18	27	5
"2557_YPDRapa"	44	52	14
"2558_YPDRapa"	34	60	9
"2559_YPDRapa"	23	24	0
"2560_YPDRapa"	41	54	8
"2561_YPDRapa"	24	24	2
"2562_YPDRapa"	30	22	3
"2563_YPDRapa"	3	27	3
"2564_YPDRapa"	4	25	6
"2565_YPDRapa"	29	13	2
"2566_YPDRapa"	20	37	9
"2567_YPDRapa"	29	26	1
"2568_YPDRapa"	61	50	22
"2569_YPDRapa"	13	20	2
"2570_YPDRapa"	29	41	1
"2571_YPDRapa"	25	33	5
"2572_YPDRapa"	29	48	5
"2573_YPDRapa"	39	45	0
"2574_YPDRapa"	50	40	4
"2575_YPDRapa"	43	57	6
"2576_YPDRapa"	24	33	3
"2577_YPDRapa"	29	45	10
"2578_YPDRapa"	9	6	1
"2579_YPDRapa"	39	28	7
"2580_YPDRapa"	68	79	18
"2581_YPDRapa"	10	30	5
"2582_YPDRapa"	53	42	11
"2583_YPDRapa"	42	42	8
"2584_YPDRapa"	4	8	7
"2585_YPDRapa"	38	37	2
"2586_YPDRapa"	15	11	4
"2587_YPDRapa"	117	113	22
"2588_YPDRapa"	23	17	2
"2589_YPDRapa"	16	9	0
"2590_YPDRapa"	14	16	1
"2591_YPDRapa"	18	23	1
"2592_YPDRapa"	9	27	5
"2593_YPDRapa"	40	50	18
"2594_YPDRapa"	27	39	9
"2595_YPDRapa"	28	35	6
"2596_YPDRapa"	67	55	11
"2597_YPDRapa"	27	17	3
"2598_YPDRapa"	28	20	3
"2599_YPDRapa"	21	19	2
"2600_YPDRapa"	46	27	4
"2601_YPDRapa"	44	28	4
"2602_YPDRapa"	30	36	7
"2603_YPDRapa"	28	23	6
"2604_YPDRapa"	32	44	13
"2605_YPDRapa"	18	28	3
"2606_YPDRapa"	26	17	5
"2607_YPDRapa"	16	15	1
"2608_YPDRapa"	12	21	2
"2609_YPDRapa"	41	41	9
"2610_YPDRapa"	21	26	3
"2611_YPDRapa"	22	22	4
"2612_YPDRapa"	25	9	2
"2613_YPDRapa"	31	37	3
"2614_YPDRapa"	24	35	4
"2615_YPDRapa"	29	30	9
"2616_YPDRapa"	36	33	4
"2617_YPDRapa"	36	33	3
"2618_YPDRapa"	23	30	4
"2619_YPDRapa"	34	35	5
"2620_YPDRapa"	14	23	5
"2621_YPDRapa"	23	25	6
"2622_YPDRapa"	34	35	4
"2623_YPDRapa"	22	27	3
"2624_YPDRapa"	59	70	15
"2625_YPDRapa"	12	32	4
"2626_YPDRapa"	17	15	3
"2627_YPDRapa"	15	13	0
"2628_YPDRapa"	32	23	4
"2629_YPDRapa"	18	27	6
"2630_YPDRapa"	58	58	14
"2631_YPDRapa"	36	42	6
"2632_YPDRapa"	12	26	0
"2633_YPDRapa"	9	20	1
"2634_YPDRapa"	15	15	2
"2635_YPDRapa"	9	16	3
"2636_YPDRapa"	20	31	3
"2637_YPDRapa"	110	129	26
"2638_YPDRapa"	37	29	2
"2639_YPDRapa"	14	31	5
"2640_YPDRapa"	20	11	2
"2641_YPDRapa"	21	22	1
"2642_YPDRapa"	40	55	12
"2643_YPDRapa"	39	37	4
"2644_YPDRapa"	48	21	2
"2645_YPDRapa"	50	41	7
"2646_YPDRapa"	22	42	3
"2647_YPDRapa"	4	12	2
"2648_YPDRapa"	32	38	7
"2649_YPDRapa"	26	32	4
"2650_YPDRapa"	30	21	7
"2651_YPDRapa"	50	65	12
"2652_YPDRapa"	21	28	4
"2653_YPDRapa"	23	27	3
"2654_YPDRapa"	14	27	5
"2655_YPDRapa"	15	21	2
"2656_YPDRapa"	47	22	9
"2657_YPDRapa"	26	23	1
"2658_YPDRapa"	35	38	7
"2659_YPDRapa"	15	14	6
"2660_YPDRapa"	18	16	3
"2661_YPDRapa"	17	22	0
"2662_YPDRapa"	93	97	6
"2663_YPDRapa"	48	71	9
"2664_YPDRapa"	44	35	5
"2665_YPDRapa"	7	17	3
"2666_YPDRapa"	23	21	4
"2667_YPDRapa"	27	31	12
"2668_YPDRapa"	39	60	0
"2669_YPDRapa"	50	55	10
"2670_YPDRapa"	22	31	1
"2671_YPDRapa"	17	33	1
"2672_YPDRapa"	43	56	1
"2673_YPDRapa"	18	18	3
"2674_YPDRapa"	42	44	11
"2675_YPDRapa"	16	23	7
"2676_YPDRapa"	21	28	1
"2677_YPDRapa"	53	74	9
"2678_YPDRapa"	71	100	24
"2679_YPDRapa"	24	27	10
"2680_YPDRapa"	20	22	6
"2681_YPDRapa"	25	23	8
"2682_YPDRapa"	45	63	5
"2683_YPDRapa"	14	25	7
"2684_YPDRapa"	12	11	1
"2685_YPDRapa"	32	23	5
"2686_YPDRapa"	31	24	8
"2687_YPDRapa"	16	14	6
"2688_YPDRapa"	61	49	2
"2689_YPDRapa"	7	16	3
"2690_YPDRapa"	63	66	7
"2691_YPDRapa"	21	23	8
"2692_YPDRapa"	32	64	6
"2693_YPDRapa"	15	10	5
"2694_YPDRapa"	49	54	11
"2695_YPDRapa"	22	33	6
"2696_YPDRapa"	25	29	4
"2697_YPDRapa"	17	16	6
"2698_YPDRapa"	13	19	6
"2699_YPDRapa"	11	28	1
"2700_YPDRapa"	37	69	10
"2701_YPDRapa"	30	30	4
"2702_YPDRapa"	41	25	1
"2703_YPDRapa"	19	22	1
"2704_YPDRapa"	26	22	6
"2705_YPDRapa"	13	12	0
"2706_YPDRapa"	29	36	2
"2707_YPDRapa"	59	54	9
"2708_YPDRapa"	27	20	5
"2709_YPDRapa"	19	14	3
"2710_YPDRapa"	41	21	0
"2711_YPDRapa"	44	47	10
"2712_YPDRapa"	17	42	9
"2713_YPDRapa"	24	39	7
"2714_YPDRapa"	18	22	7
"2715_YPDRapa"	14	14	4
"2716_YPDRapa"	20	13	5
"2717_YPDRapa"	31	28	5
"2718_YPDRapa"	46	54	10
"2719_YPDRapa"	11	7	1
"2720_YPDRapa"	33	30	9
"2721_YPDRapa"	24	13	2
"2722_YPDRapa"	22	16	6
"2723_YPDRapa"	30	27	1
"2724_YPDRapa"	22	31	4
"2725_YPDRapa"	18	52	12
"2726_YPDRapa"	19	19	8
"2727_YPDRapa"	56	39	4
"2728_YPDRapa"	32	16	0
"2729_YPDRapa"	37	53	8
"2730_YPDRapa"	30	35	13
"2731_YPDRapa"	16	34	8
"2732_YPDRapa"	29	42	9
"2733_YPDRapa"	50	44	2
"2734_YPDRapa"	48	25	2
"2735_YPDRapa"	31	32	5
"2736_YPDRapa"	44	45	10
"2737_YPDRapa"	21	15	6
"2738_YPDRapa"	17	22	5
"2739_YPDRapa"	43	32	2
"2740_YPDRapa"	42	51	10
"2741_YPDRapa"	13	8	2
"2742_YPDRapa"	76	61	7
"2743_YPDRapa"	33	32	2
"2744_YPDRapa"	22	18	5
"2745_YPDRapa"	17	21	5
"2746_YPDRapa"	26	29	3
"2747_YPDRapa"	18	26	3
"2748_YPDRapa"	17	26	1
"2749_YPDRapa"	20	19	2
"2750_YPDRapa"	26	24	8
"2751_YPDRapa"	18	34	1
"2752_YPDRapa"	33	45	7
"2753_YPDRapa"	10	6	1
"2754_YPDRapa"	13	9	5
"2755_YPDRapa"	46	43	3
"2756_YPDRapa"	51	52	8
"2757_YPDRapa"	43	46	14
"2758_YPDRapa"	43	69	18
"2759_YPDRapa"	20	29	4
"2760_YPDRapa"	60	43	5
"2761_YPDRapa"	15	21	4
"2762_YPDRapa"	61	78	8
"2763_YPDRapa"	58	18	3
"2764_YPDRapa"	34	50	10
"2765_YPDRapa"	19	27	1
"2766_YPDRapa"	40	63	15
"2767_YPDRapa"	28	30	11
"2768_YPDRapa"	56	45	2
"2769_YPDRapa"	21	34	9
"2770_YPDRapa"	10	16	4
"2771_YPDRapa"	26	36	8
"2772_YPDRapa"	13	23	12
"2773_YPDRapa"	40	69	4
"2774_YPDRapa"	24	27	5
"2775_YPDRapa"	22	27	8
"2776_YPDRapa"	20	42	10
"2777_YPDRapa"	17	36	9
"2778_YPDRapa"	48	55	10
"2779_YPDRapa"	28	25	4
"2780_YPDRapa"	12	29	8
"2781_YPDRapa"	27	19	2
"2782_YPDRapa"	22	13	1
"2783_YPDRapa"	18	15	3
"2784_YPDRapa"	13	11	4
"2785_YPDRapa"	48	64	11
"2786_YPDRapa"	32	38	3
"2787_YPDRapa"	50	40	7
"2788_YPDRapa"	25	43	4
"2789_YPDRapa"	39	64	15
"2790_YPDRapa"	65	60	12
"2791_YPDRapa"	14	31	3
"2792_YPDRapa"	60	78	17
"2793_YPDRapa"	20	21	3
"2794_YPDRapa"	22	28	7
"2795_YPDRapa"	12	24	8
"2796_YPDRapa"	57	72	19
"2797_YPDRapa"	20	16	3
"2798_YPDRapa"	22	37	11
"2799_YPDRapa"	98	93	24
"2800_YPDRapa"	13	20	7
"2801_YPDRapa"	15	26	2
"2802_YPDRapa"	36	59	7
"2803_YPDRapa"	30	37	7
"2804_YPDRapa"	16	15	5
"2805_YPDRapa"	28	34	5
"2806_YPDRapa"	28	23	4
"2807_YPDRapa"	16	13	5
"2808_YPDRapa"	24	26	4
"2809_YPDRapa"	14	22	2
"2810_YPDRapa"	83	52	5
"2811_YPDRapa"	17	26	3
"2812_YPDRapa"	34	45	9
"2813_YPDRapa"	40	39	11
"2814_YPDRapa"	22	18	3
"2815_YPDRapa"	13	15	3
"2816_YPDRapa"	14	21	3
"2817_YPDRapa"	31	43	7
"2818_YPDRapa"	32	14	1
"2819_YPDRapa"	22	34	4
"2820_YPDRapa"	14	25	4
"2821_YPDRapa"	27	56	7
"2822_YPDRapa"	14	24	7
"2823_YPDRapa"	13	29	3
"2824_YPDRapa"	41	58	7
"2825_YPDRapa"	13	19	4
"2826_YPDRapa"	14	15	4
"2827_YPDRapa"	29	20	10
"2828_YPDRapa"	37	45	9
"2829_YPDRapa"	48	26	6
"2830_YPDRapa"	55	45	18
"2831_YPDRapa"	12	16	3
"2832_YPDRapa"	34	29	3
"2833_YPDRapa"	10	13	2
"2834_YPDRapa"	24	23	8
"2835_YPDRapa"	94	85	14
"2836_YPDRapa"	14	16	3
"2837_YPDRapa"	4	14	0
"2838_YPDRapa"	28	42	9
"2839_YPDRapa"	33	19	3
"2840_YPDRapa"	45	52	11
"2841_YPDRapa"	23	26	2
"2842_YPDRapa"	20	18	9
"2843_YPDRapa"	24	34	3
"2844_YPDRapa"	15	24	6
"2845_YPDRapa"	10	31	3
"2846_YPDRapa"	14	12	4
"2847_YPDRapa"	20	19	2
"2848_YPDRapa"	24	22	4
"2849_YPDRapa"	8	15	3
"2850_YPDRapa"	30	33	10
"2851_YPDRapa"	45	20	3
"2852_YPDRapa"	61	50	7
"2853_YPDRapa"	55	35	6
"2854_YPDRapa"	16	13	3
"2855_YPDRapa"	19	26	1
"2856_YPDRapa"	33	41	4
"2857_YPDRapa"	28	14	1
"2858_YPDRapa"	16	16	5
"2859_YPDRapa"	25	35	14
"2860_YPDRapa"	13	26	6
"2861_YPDRapa"	39	42	5
"2862_YPDRapa"	33	28	2
"2863_YPDRapa"	22	33	8
"2864_YPDRapa"	19	21	2
"2865_YPDRapa"	43	42	6
"2866_YPDRapa"	10	27	3
"2867_YPDRapa"	59	62	12
"2868_YPDRapa"	27	42	8
"2869_YPDRapa"	17	23	8
"2870_YPDRapa"	12	22	5
"2871_YPDRapa"	31	32	4
"2872_YPDRapa"	44	49	7
"2873_YPDRapa"	23	24	2
"2874_YPDRapa"	36	35	12
"2875_YPDRapa"	6	11	6
"2876_YPDRapa"	27	28	2
"2877_YPDRapa"	25	32	7
"2878_YPDRapa"	78	85	26
"2879_YPDRapa"	55	37	16
"2880_YPDRapa"	35	30	2
"2881_YPDRapa"	28	37	3
"2882_YPDRapa"	26	21	5
"2883_YPDRapa"	14	19	4
"2884_YPDRapa"	15	19	3
"2885_YPDRapa"	21	16	2
"2886_YPDRapa"	20	24	9
"2887_YPDRapa"	20	33	7
"2888_YPDRapa"	25	24	1
"2889_YPDRapa"	36	23	2
"2890_YPDRapa"	40	70	12
"2891_YPDRapa"	10	20	4
"2892_YPDRapa"	11	27	8
"2893_YPDRapa"	18	21	5
"2894_YPDRapa"	19	16	3
"2895_YPDRapa"	18	12	4
"2896_YPDRapa"	18	21	11
"2897_YPDRapa"	33	36	10
"2898_YPDRapa"	26	41	7
"2899_YPDRapa"	51	48	14
"2900_YPDRapa"	11	20	3
